date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count
20110718,24.204343,3.473699,3.523031,116.632994,17.084678,29,4,4,136,20,1000
20110719,22.613184,6.91556,5.229865,98.99637,27.646187,27,8,6,116,33,1000
20110720,26.117747,6.937457,1.857469,119.46812,23.962406,31,8,2,137,28,1000
20110721,29.941587,4.166851,3.368048,104.027184,15.852129,36,5,4,121,19,1000
20110722,26.782065,1.788177,5.053696,122.818406,23.005976,32,2,6,143,27,1000
20110723,17.720646,5.991009,4.603176,126.222479,29.858137,21,7,5,146,35,1000
20110724,23.133308,2.636539,5.04715,118.721924,19.03387,28,3,6,135,22,1000
20110725,26.863694,4.465012,1.844077,107.084936,16.836367,32,5,2,124,20,1000
20110726,20.526414,9.757021,5.374162,108.938361,22.986526,24,11,6,126,27,1000
20110727,26.305294,4.451582,3.696103,109.447229,17.86896,32,5,4,128,21,1000
20110728,24.934015,6.276251,2.603492,111.831853,25.409793,29,7,3,128,30,1000
20110729,22.254082,0,0.980984,106.089385,14.143395,26,0,1,125,17,1000
20110730,24.762369,5.435965,3.650194,109.635757,20.932575,29,6,4,127,25,1000
20110731,26.391553,3.307532,2.820614,106.761368,22.50284,31,4,3,122,27,1000
20110801,32.231145,4.899257,6.420903,122.450855,19.365722,38,6,7,143,23,1000
20110802,18.803452,2.664369,4.520088,106.681861,18.875338,22,3,5,124,22,1000
20110803,18.987742,4.074711,1.654474,112.40736,14.766568,23,5,2,129,18,1000
20110804,17.128842,3.491323,3.629961,105.38268,22.861003,20,4,4,124,27,1000
20110805,20.866611,6.196996,5.163529,114.272847,9.947525,25,7,6,132,12,1000
20110806,26.66711,4.46259,4.503903,93.46115,28.872584,32,5,5,108,34,1000
20110807,25.923202,3.545544,1.770806,113.12747,23.45598,31,4,2,131,28,1000
20110808,18.111934,3.599466,8.117619,123.403513,23.83849,21,4,9,141,28,1000
20110809,32.313785,6.327568,4.498093,126.293467,16.893372,39,7,5,147,20,1000
20110810,19.500418,1.728761,6.253676,107.57308,24.587079,23,2,7,125,28,1000
20110811,14.835679,4.306843,4.300698,119.176325,21.309373,18,5,5,138,25,1000
