year,month,day,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,close,open,high,low,change
2011,10,11,28.024083,7.981567999999999,8.783644,119.283927,27.876210999999998,33,9,10,138,33,11416.3,11432.8,11447.86,11365.67,-0.15
2011,10,12,23.447508,3.479764,5.24873,113.37694599999999,25.223626,28,4,6,132,30,11518.85,11417.36,11625.3,11417.28,0.009000000000000001
2011,10,13,21.563078,1.0,7.013547,113.34313799999998,20.311642000000003,26,1,8,131,24,11478.13,11518.09,11518.09,11377.82,-0.35
2011,10,14,18.805938,6.749678,5.295726,117.879508,16.463498,22,8,6,136,19,11644.49,11478.97,11646.83,11478.66,0.0145
2011,10,17,31.900083000000002,4.396885,4.387433000000001,106.711019,26.451016999999997,38,5,5,124,32,11397.0,11643.35,11643.35,11378.35,-2.13
2011,10,18,27.13213,1.814495,1.852034,115.25758400000001,25.440376999999998,32,2,2,133,30,11577.05,11396.17,11652.74,11296.12,0.0158
2011,10,19,26.172109,6.598367999999999,6.357183,114.246232,18.09575,31,8,7,133,21,11504.62,11577.54,11633.7,11469.17,-0.63
2011,10,20,20.016753,5.398798,2.528264,120.72491299999999,26.295639,24,6,3,140,31,11541.78,11502.13,11581.25,11391.14,0.0032
2011,10,21,20.843619,2.862068,1.862068,123.833278,19.383732000000002,24,3,2,144,23,11808.79,11543.22,11812.46,11542.84,0.0231
2011,10,24,29.485574,5.177381,2.593888,113.386917,25.479919,35,6,3,133,30,11913.62,11807.96,11940.75,11805.77,0.0089
2011,10,25,32.494943,7.007619999999999,4.442423000000001,117.220652,19.086716,39,8,5,136,22,11706.62,11912.63,11912.86,11682.52,-1.74
2011,10,26,17.712495999999998,6.2162440000000005,6.226264,113.36375,25.598160999999998,21,7,7,133,30,11869.04,11707.76,11891.21,11694.36,0.0139
2011,10,27,21.726502,5.972066000000001,4.347109,129.34714,20.600604,26,7,5,151,24,12208.55,11872.07,12284.31,11872.07,0.0286
2011,10,28,14.521267000000002,1.78725,8.114097000000001,129.92416200000002,24.649162,17,2,9,150,29,12231.11,12207.34,12251.92,12164.24,0.0018
2011,10,31,20.081231,1.861677,6.351338,129.360919,30.588717,24,2,7,148,36,11955.01,12229.22,12229.29,11954.41,-2.26
2011,11,01,19.925098000000002,1.6975049999999998,0.814822,123.724433,25.524139,24,2,1,144,30,11657.96,11951.53,11951.76,11630.03,-2.48
2011,11,02,15.312005,2.573048,4.417736,114.615149,23.032025,19,3,5,133,27,11836.04,11658.49,11876.83,11658.49,0.0153
2011,11,03,29.234251,8.123099,6.049975,110.71725,20.315163000000002,35,9,7,128,24,12044.47,11835.59,12065.93,11835.43,0.0176
2011,11,04,24.88564,4.214861,3.4963339999999996,115.891953,20.433482,30,5,4,134,24,11983.24,12043.41,12043.49,11850.31,-0.51
2011,11,07,24.789273,3.501546,4.4987260000000004,113.70956799999999,24.469175,29,4,5,133,29,12068.39,11983.02,12074.44,11880.69,0.0071
2011,11,08,30.346657,5.486463,9.043510000000001,130.17961200000002,15.924148,36,6,10,151,19,12170.18,12055.52,12187.51,12002.17,0.0084
2011,11,09,24.309486,5.111174,6.167648000000001,113.264035,22.544646,29,6,7,131,26,11780.94,12166.4,12166.4,11736.93,-3.2
2011,11,10,23.211268,2.489258,3.3746050000000003,115.205542,17.189436999999998,28,3,4,134,20,11893.79,11780.03,11961.14,11779.88,0.0096
2011,11,11,17.390725,5.978141,5.205478,123.587134,16.320076999999998,21,7,6,144,20,12153.68,11896.28,12179.72,11896.28,0.0219
2011,11,14,30.626451,5.121358,6.33145,131.806419,19.620488,37,6,7,153,23,12078.98,12153.0,12170.56,12027.03,-0.61
2011,11,15,21.456815,4.344051,5.3836059999999994,95.28630600000001,23.844335,25,5,6,110,28,12096.16,12077.92,12165.11,12001.26,0.0014
2011,11,16,30.381299,4.503845,6.296572,132.234689,22.847823,36,5,7,153,27,11905.59,12084.74,12109.03,11890.57,-1.58
2011,11,17,31.547865,2.561404,6.817825,118.363735,16.004118,37,3,8,138,19,11770.73,11905.67,11948.43,11676.35,-1.13
2011,11,18,18.923254,1.778672,2.613961,121.493796,20.505653,23,2,3,142,24,11796.16,11768.98,11854.81,11755.82,0.0022
2011,11,21,29.112732,4.203355,4.482947,111.099364,22.538701,34,5,5,129,26,11547.31,11795.55,11795.7,11454.07,-2.11
2011,11,22,22.995065,2.460744,3.5603,107.13316999999999,26.605139,27,3,4,124,32,11493.72,11542.39,11571.75,11433.97,-0.46
2011,11,23,24.69257,4.532551,6.351107,115.05423200000001,22.496123,29,5,7,133,26,11257.55,11492.74,11492.82,11257.55,-2.05
2011,11,25,22.854181,6.398441,6.9090679999999995,114.542612,28.940147999999997,27,7,8,134,34,11231.78,11251.88,11361.47,11231.56,-0.23
2011,11,28,28.999358,7.416022,6.3799,113.238895,22.297065,34,8,7,131,26,11523.01,11232.47,11562.1,11232.16,0.0259
2011,11,29,21.04439,3.505706,5.214201,113.365292,23.522376,25,4,6,131,28,11555.63,11523.01,11624.01,11517.04,0.0028
2011,11,30,23.113537,5.11621,7.7346699999999995,126.133797,19.339668,27,6,9,148,23,12045.68,11559.27,12045.68,11559.27,0.0424
2011,12,01,27.325415999999997,4.831878,4.943516000000001,103.137474,21.22298,33,6,6,119,25,12020.03,12046.21,12062.64,11974.62,-0.21
2011,12,02,22.917142000000002,5.237833999999999,0.8327180000000001,128.014299,26.232052000000003,27,6,1,147,31,12019.42,12022.37,12146.68,12007.12,-0.01
2011,12,05,31.880384000000003,6.001692,2.6602330000000003,113.14108200000001,32.47737,38,7,3,131,38,12097.83,12021.54,12186.53,12021.46,0.0065
2011,12,06,22.997865,5.235339,4.369498,117.882145,20.56811,27,6,5,137,24,12150.13,12097.75,12215.71,12076.71,0.0043
2011,12,07,26.111345999999998,6.3417900000000005,10.370777,122.22863899999999,27.74666,31,7,12,141,33,12196.37,12144.41,12257.67,12060.37,0.0038
2011,12,08,29.312561,4.4077779999999995,7.999594,122.66338700000001,28.317225,35,5,9,141,33,11997.7,12195.91,12195.91,11966.22,-1.63
2011,12,09,21.321189999999998,1.8005220000000002,5.961357,133.970752,15.236472000000001,25,2,7,154,18,12184.26,11996.03,12212.83,11995.51,0.0155
2011,12,12,18.243144,6.243663,1.592633,116.39868100000001,13.476405999999999,22,7,2,135,16,12021.39,12181.08,12181.38,11940.86,-1.34
2011,12,13,19.900527,2.51943,9.686052,122.441547,33.33266,24,3,11,141,40,11954.94,12018.66,12147.7,11904.38,-0.55
2011,12,14,21.677778,4.89236,4.4797199999999995,119.198232,32.942056,26,6,5,137,39,11823.48,11949.72,11950.02,11786.47,-1.1
2011,12,15,29.276758,3.4102230000000002,4.879117,121.578029,24.813168,35,4,6,143,30,11868.81,11825.29,11967.84,11825.22,0.0038
2011,12,16,14.086966,10.089336999999999,3.585434,121.307647,22.531979999999997,17,12,4,142,27,11866.39,11870.25,11968.18,11819.31,-0.02
2011,12,19,16.95863,1.718609,4.309944000000001,121.101899,23.08158,20,2,5,140,28,11766.26,11866.54,11925.88,11735.19,-0.84
2011,12,20,24.016644,8.106010000000001,10.14064,120.50583600000002,27.162640000000003,28,9,11,141,32,12103.58,11769.21,12117.13,11768.83,0.0287
2011,12,21,20.630416,4.281446,5.187180000000001,130.93504199999998,29.181859999999997,25,5,6,152,34,12107.74,12103.28,12119.7,11999.44,0.0003
2011,12,22,23.821413,5.335848,7.300825,132.708173,27.113831,29,6,8,153,32,12169.65,12107.59,12182.71,12107.37,0.0051
2011,12,23,24.268079,2.5817490000000003,6.313329,146.833035,24.282998000000003,29,3,7,172,29,12294.0,12169.8,12297.44,12169.8,0.0102
2011,12,27,20.129170000000002,0.931034,6.046302,117.85838600000001,29.806967999999998,24,1,7,136,35,12291.35,12293.47,12328.47,12269.97,-0.02
2011,12,28,16.760762,5.214915,4.2237480000000005,111.72389299999999,18.503518,20,6,5,131,22,12151.41,12288.85,12299.11,12140.17,-1.14
2011,12,29,18.663083,4.300127,4.345301,124.66048400000001,19.565376,22,5,5,143,23,12287.04,12152.09,12293.96,12152.09,0.0112
