노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
34,동춘동 종점,"동춘2동주민센터,연수구청,남동공단,논현주공1단지,농산물도매시장, 구월아시아드아파트, 작은구월사거리, 모래내시장, 간석사거리, 간석시장, 간석오거리,부평사거리,백운역,부평역,부평구청역,갈산역,미래타운아파트",삼산건강공원,04:30/04:30,23:00/23:00,11,222,50.98,22,110,신화여객
35,동춘동 종점,"동춘2동주민센터, 동막역, 캠퍼스타운역, 박문중학교, 한국산업단지공단, 도림동입구, 신세계백화점(인천터미널), 인고앞, 석바위시장, 십정사거리, 부평도서관, 부평역, 굴포천역, 부평구청, 부평경찰서",청천푸르지오아파트,04:20/05:20,22:30/23:50,17,236,63.7,16,73,도영운수
36,연안부두 종점,"풍물거리(왕복), 연안터미널, 연안아파트, 인하대병원, 토지금고, 남부역, 용현사거리, 남동경찰서, 길병원, 남부소방소, 구월시장 만수주공아파트",숭덕여자중학교,05:30/05:30,23:00/23:00,6,195,41.26,35,188,부성여객
37,서해그랑블아파트,"두산위브, 한국만화박물관, 현대백화점, 복사골문화센터, 송내역, 무내미마을, 숭덕여중고입구, 만수주공후문",만수주공정문,4:50,22:30,18,143,28.7,9,66,신화여객
38,성원상떼빌아파트,"토지금고, 옹진군청,신창A,홈플러스,독정이고개,신기사거리,주안역,석바위시장,인천고교,순복음교회,신세계백화점,남동경찰서,도림고교,논현주공1단지,논현5단지,청능로사거리,논현사거리,도림주공1단지, 서창2지구 1블럭, 서창2지구 15블럭, 이마트, 센타빌딩",서창2휴먼시아11블럭,05:30/05:30,22:30/22:30,24,223,55.13,11,50,용현운수
40,드림파크수영장,"서구국민체육센터, 검암중학교, 검암경서동주민센터, 간재울초, 태평아파트1차, 경서초등학교, 청라국제도시역, 한라비발디, 청라2동주민센터, 청라자이, 가정동성당,  신현여중후문, 독골사거리, 강남시장, 성민병원, 석남아파트, 원적산터널, 부평경찰서, 부평구청, 부평시장",신일상호금고,05:00/05:30,22:30/24:00,15,240,53,16,70,청룡교통
42,석남동차고지,"롯데캐슬, 남광하우스토리, 중흥에스클레스, 루원시티, 신현쇼핑, 강남시장, 성민병원, 석남중학교, 가좌진주아파트, 가좌3동주민센터, 가좌4동주민센터, 제물포중학교, 동암역, 간석오거리역(7번출구), 올리브백화점, 길병원, 신세계(인천터미널), 남인천세무서",구월아시아드5단지,05:00/05:00,23:00/23:00,18,216,52.7,14,70,영풍운수
42-2,석남동차고지,"신현여중후문, 호반베르디움, 액슬루타워, 한일베라체, 호수공원, 청라국제도시역, 서부공단입구, 경서동태평아파트, 경서동입구, 검암경서동주민센터, 검암역, 검암2지구(풍림아이원아파트), 검바위역, 대인고등학교, 연희동주민센터, 서구청역, KT인천지사, 청라고등학교, 린스트하우스",남광하우수스토리,05:00/05:00 ,22:30/22:30,17,202,55.6,12,62,영풍운수
43,드림파크수영장,"검암역입구, 검암경서동주민센터, 빈정내사거리, 청라고교, 청라1동주민센터, 신현북초교, 석남신사거리, 원적산터널, 부평구청, 부평시장역, 부평역",가톨릭대 인천성모병원,05:00/05:30,22:30/24:00,19,232,46.29,14,63,청룡교통
43-1,드림파크수영장,"검암역입구, 독정역, 백석고가, 마전역, 검단1동주민센터, 금곡동, 양촌산업단지입구",양촌원님마을주공아파트,05:00/05:00,22:30/22:30,28,141,30.44,6,44,청룡교통
43-2,드림파크수영장,"검암역입구, 빈정내사거리, 인천아시아드주경기장, 제일풍경채, 청라휴먼시아, 반도유보라",청라골드클래스,05:00/05:00,22:30/22:30,28,141,30.1,6,44,청룡교통
