노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
566,산업단지사거리,"궁현 사거리, 6공단고가교, 공단치안센터, 공단시장, 주안북부역, 광명아파트, 풍림 아이원아파트, 석바위시장, 인천교회, 현대아파트, 인천시청 후문, 구월 중학교, 길병원",시청광장 입구,05:30/06:15,23:05/23:45,29,95,17,4,44,삼환운수
567,대우아파트,"부평우체국, 현대아파트, 한화아파트, 한양아파트,  무지개아파트, 산곡여중, 현대3단지",백운역,05:30/06:00,24:00/24:10,11,50,7.8,6,133,삼환운수
569,한신휴아파트,"인송빌라, 우성4차아파트, 현대2차아파트,현대1차아파트, 현대3차아파트",백운역,05:30/05:45,24:06/24:20,9,37,5.9,5,150,삼성여객
570,한신휴아파트,"인송빌라, 산곡여자중학교, 현대아파트, 2001아울렛, 부원중학교, 부평역",부평시장,05:40/06:00,24:00/24:22,14,48,8.61,4,91,삼성여객
571,삼산동차고지,"두산위브,삼산농산물,현대아파트,갈산북초,갈산주공2차,우체국, 대동아파트, 굴포천, 도서관, 부평중고입구, 부평시장, 혜관병원, 문화예식장[반환시] 부평시장, 부평시장(용갈비)",부평역,05:25/05:50,23:30/24:00,15,84,15.02,7,90,태양여객
572,신영자동차,"청천초등학교, 공단오거리, 우림라이온스밸리,갈산역, 삼산사거리, 신성미소지음",삼산월드체육관,6:00,23:00,15,64,12,5,70,신화여객
574,뉴서울아파트,"경남아파트, KT부평지사, 부평동아아파트, 부원중학교, 부평시장",부평역,05:30/05:40,23:50/24:00,6,51,8.97,9,194,대인교통
579,부개역,"대동아파트정문, 부평동중, 웅진플레이, 부평디자인고, 부개우체국, 부개여고, 방촌공원, 대동어린이집, 부개서초등학교, 선경아파트, 굴다리오거리, 부평역, 해물탕거리, 부흥초등학교, 부개2파출소, 주민센터4거리, 부개주공7단지, 정병원, 부평디자인고, 부개성일아파트",부평역,05:25/05:25,24:10/24:10,8,52,8.2,8,173,해성운수
581,삼보아파트(계양구청),"대동아파트, 한진아파트, 영음교회, 서운중고등학교, 현대2차아파트, 갈산태화아파트, 부평북초등학교, 갈산사거리, 이마트, 굴포천, 부평래미안아파트, 부평중학교, 부평보건소, 부평시장, 갈산두산아파트, 갈산주공2단지, 계산여자고등학교, 초정마을, 오조산공원",부평역,05:10/06:00,23:20/24:00,16,136,19.3,10,80,태양여객
582,초정마을,"태산아파트, 한진아파트, 서운동, 현대2차아파트, 현광아파트, 갈산태화아파트, 갈산역, 굴포천, 부평구청, 한구지엠정문, 서운교, 서운동성당, 갈산역, 계산여고, 한진아파트, 하우스토리, 풍림아이원, 귤현역, 계양중학교, 계양역, 병방초교, 임학역, 오조산공원, 삼보아파트(계양구청)",부평구청역,05:10/05:40,22:40/23:10,16,123,22.9,9,76,삼성여객
583,작전역,"작전홈플러스, 안남고등학교, 작전중.고.여고앞, 작전초등학교, 삼천리1차아파트, 한국아파트, 한일아파트, 병방시장, 병방사거리, 청소년수련관, 박촌역, 풍림아이원, 귤현역, 계양중학교, 계양역, 다남동, 목상동",갈현교,05:30/06:00,23:00/23:30,21,109,23.8,6,57,태양여객
584,원창동차고지,"서구 청소년수련관, 신현북 초등학교, 구 신현주공, 루원시티, 아나지고개, 북인천 여중, 새말사거리, 작전동삼성홈플러스, 작전역, 경인교대, 계양문화회관, 예비군교육장, 경인여대, 사회복지회관, 병방사거리, 병방초등학교, 풍림아파트, 귤현역, 계양중학교",계양역,05:30/06:20,23:00/23:50,18,163,31,11,70,삼성여객
585,백양아파트,"현대아파트, 동아아파트, 성지아파트, 뉴서울아파트, 대우자동차, 새림병원, 백마장입구, 국민은행, 부평시장",부평역,05:00/05:00,23:55/23:55,11,76,15.17,8,119,삼일여객
586,세원에너지충전소,"나비공원, 새마을금고, 효성4, 청천초교, 대우자동차, 새림병원, 백마장입구(회차:부평시장)",부평역,05:00/05:25,23:40/24:18,12,80,16.12,8,112,세원교통
587,계산역,"계산우체국, 신동양아파트, 계양문화회관, 경인여대, 성불사<토요일, 공휴일은 감회(100회) 운행>",계산역,06:30/06:30,24:10/24:10,11,16,2.52,2,132,삼성여객
588,세원에너지충전소,"경남아파트, 북인천여중, 효성고등학교, 작전홈플러스, 작전역, 코오롱아파트, 작전초, 삼천리1차, 한국아파트, 계산역, 계산주공, 계양경찰서, 계양구청,계산고교,(구)계양경찰서,동보A,한진A,태화A, 서운동",서운중고등학교,05:00/05:43,23:20/23:57,12,137,23.6,14,112,세원교통
590,유림골프장,"계양복지관, 서운중?고, 현대-태화아파트, 작동초교, 광명아파트, 천대고가, 안남고교, 카리스호텔, 작전역, 명현중",효성동차고지,05:30/06:00,23:30/24:00,25,80,14.13,4,54,태양여객
591,청라국제도서관,"풍림엑슬루타워, 중흥S클래스, 우신기계, 경서초등학교, 태평아파트, 검암경서동주민센터, 서구국민체육센터, 검암중학교, 풍림1차아파트",검암역,5:00,22:45,17,100,21,6,63,삼일여객
591-1,원창동(동일폐차장),"신현중, 신현북초교, 신현쇼핑, 루원시티, 태화아파트, 가정하나아파트입구, 뉴서울아파트, 봉수초교",한성아파트,05:30/06:00,23:00/23:25,38,61,7.31,2,34,삼일여객
592,신영자동차,"청천농장, 서구문화회관, 가정고등학교, 석남초등학교, 인천보건고등학교, 인천서부여성회관, 석남중학교, 유니온프라자, 나은병원, 가좌사거리, 가정여자중학교(가재울역), 열우물경기장, 십정초등학교, 간석오거리역, 석천시장, 동암사거리, 가좌고등학교, 가정3동성당, 신영자동차, 인향아파트, 아이즈빌, 북인천여중, 뉴서울아파트, 루원시티사거리, 심곡초등학교, 국제성모병원",간석오거리역,05:00/05:50,23:30/24:20,12,147,33,14,105,삼일여객
593,배수지 입구,"진주아파트, 가좌2동 주민센터, 은혜주유소, 열우물테니스경기장, 십정고개, 십정초등학교",동암역,05:00/05:25,24:05/24:20,9,57,9.38,8,160,해성운수
595,청라우미린,"한양수자인, 청라힐스테이트, SK스카이뷰, 호반베르디움, 한일베라체, 청라1동주민센터, 웰카운티1차, 인재개발원, 국제성모병원, 심곡초등학교, 광명아파트, 공촌사거리, 경서동입구, 서인천고등학교, 검암중학교",검암역,05:30/05:30,23:00/24:00,29,119,27,5,40,선진여객
597,계양역,"둑실동(아라마루), 한들마을입구, 백석고가, 검단4동주민센터, 갈산마을, 불로리훈련장",원당지구 종점,5:30,23:00,58,95,23.4,2,22,태양여객
